"Date","Distress","External.factors","Personal.Illness","total.Humi","total.temp","total.wind","total.rain","total.dew","total.snow","snow_YN"
2013040914,"1","0","0",31.5,6.7,5.25,0,-5.9,0,0
2013041311,"1","1","0",21.75,10.9,4.125,0,-8.175,0,0
2013041312,"1","1","0",19.75,12.3,4.075,0,-8.075,0,0
2013041313,"0","0","0",17.5,14.05,4.2,0,-8.4,0,0
2013041314,"1","1","0",19.25,14.6,4.95,0,-6.475,0,0
2013041315,"1","1","0",18.75,15.425,4.8,0,-6.325,0,0
2013041316,"1","1","0",20.25,15.325,4.325,0,-5.175,0,0
2013041413,"1","0","0",19.5,8.55,4.875,0,-12.025,0,0
2013041514,"1","1","0",30.75,7.325,1.7,0,-7.75,0,0
2013041716,"1","0","0",50.5,15.7,1.55,0,7.55,0,0
2013041912,"1","1","0",21,10.65,1.725,0,-9.8,0,0
2013042112,"1","0","0",31.75,9.4,2.875,0,-4.7,0,0
2013042114,"1","0","0",22.25,11.65,3.325,0,-7.175,0,0
2013042115,"1","0","0",23.5,12.125,3.025,0,-5.825,0,0
2013042213,"0","1","0",26.75,13.575,2.15,0,-2.325,0,0
2013042515,"1","1","0",68.5,9.95,2.25,0,6.85,0,0
2013042612,"1","0","0",39.75,12.05,3.75,0,1.275,0,0
2013042614,"1","0","0",35.5,12.4,3.925,0.125,0.55,0,0
2013042710,"1","1","0",47.25,12.975,0.875,0,3.3,0,0
2013042712,"1","0","0",32,15.05,2.45,0,0.6,0,0
2013042716,"1","0","0",36.5,12.325,5.25,0,-0.125,0,0
2013042717,"1","1","0",46.25,11.45,4.55,0,2.2,0,0
2013042812,"0","1","0",35.25,16.425,2.825,0,3.25,0,0
2013042816,"1","1","0",46.25,19.025,4.025,0,9.525,0,0
2013050115,"0","1","0",37.25,14.35,2.025,0,2.85,0,0
2013050318,"1","1","0",53.75,12.175,3.15,0,5.425,0,0
2013050416,"1","0","0",36.25,17.125,2.975,0,4.075,0,0
2013050511,"1","1","0",46,15.85,2.025,0,5.675,0,0
2013050512,"1","0","0",35,17.675,2.55,0,3.35,0,0
2013050516,"1","0","0",25.5,19.1,3.25,0,0.075,0,0
2013050516,"1","0","0",25.5,19.1,3.25,0,0.075,0,0
2013050611,"1","1","0",41.75,16.675,1.125,0,4.25,0,0
2013050713,"1","1","0",31.5,22.4,1.45,0,6.3,0,0
2013050716,"1","1","0",30.25,24.15,1.775,0,7.55,0,0
2013051213,"1","1","0",57,19.6,3.425,0,12.95,0,0
2013051216,"1","1","0",52.5,20.675,3.7,0,13.15,0,0
2013051414,"1","1","0",35,21.875,1.725,0,7.6,0,0
2013051516,"1","1","0",36.25,22,2.05,0,8.475,0,0
2013051812,"1","1","0",44.25,19.175,0.925,0,8.7,0,0
2013051813,"1","0","0",41.25,20.525,1.225,0,8.475,0,0
2013051815,"1","0","0",48,20.225,2.075,0,10.75,0,0
2013051817,"1","1","0",49,18.425,1.425,0,9.85,0,0
2013052016,"1","0","0",64.25,15.875,3.35,0,11.1,0,0
2013052114,"1","1","0",24.5,21.875,1.775,0,2.375,0,0
2013052115,"1","1","0",20.25,21.625,1.975,0,0.35,0,0
2013052213,"1","1","0",36.75,21.875,1.525,0,8.725,0,0
2013052216,"0","0","0",42,23.1,1.6,0,11.875,0,0
2013052217,"1","1","0",45.75,22.9,1.325,0,12.975,0,0
2013052512,"0","1","0",39.25,26,1.075,0,12.925,0,0
2013052515,"1","1","0",29,28.975,1.55,0,11.075,0,0
2013052519,"1","1","0",40.5,24.65,2.575,0,12.725,0,0
2013052615,"1","1","0",37.25,25.65,1.175,0,12.225,0,0
2013060114,"1","0","0",35,23.75,1.8,0,9.425,0,0
2013060114,"1","1","0",35,23.75,1.8,0,9.425,0,0
2013060116,"1","1","0",35.25,23.85,2.025,0,9.375,0,0
2013060116,"0","1","0",35.25,23.85,2.025,0,9.375,0,0
2013060214,"1","1","0",27.5,26.8,1.125,0,8.35,0,0
2013060316,"0","0","0",46.5,23.95,2.1,0,14.025,0,0
2013060613,"1","1","0",46.25,25.425,1.225,0,15.675,0,0
2013060612,"0","0","0",49.25,24.725,1.5,0,15.825,0,0
2013060714,"1","1","0",38.75,28,0.875,0,14.525,0,0
2013060913,"1","0","0",36.5,27.125,1.425,0,12.925,0,0
2013060915,"1","1","0",30.25,28.15,1.6,0,11.425,0,0
2013061315,"0","1","0",54.25,23.675,1.05,0,16.675,0,0
2013061416,"0","0","0",55.25,25.25,1.875,0,17.15,0,0
2013061515,"0","1","0",50.25,26,2.5,0,17.1,0,0
2013061612,"1","1","0",63.5,22.85,1.825,0,17.325,0,0
2013061614,"1","1","0",51.75,24.85,2.15,0,16.825,0,0
2013061613,"1","1","0",57.5,24.025,1.775,0,17.2,0,0
2013061617,"1","1","0",53.25,24.175,2.525,0,16.3,0,0
2013061718,"0","0","0",73.25,20.95,1.65,0,18.875,0,0
2013062210,"1","1","0",61.5,23.775,0.7,0,17.95,0,0
2013062214,"1","0","0",51.5,26.45,1.625,0,18.1,0,0
2013062220,"1","0","0",71.75,22.425,2.35,0,18.95,0,0
2013062314,"1","1","0",54.75,22.075,2.4,0,15,0,0
2013062317,"1","1","0",61.25,21.725,2.6,0,16.15,0,0
2013062317,"1","1","0",61.25,21.725,2.6,0,16.15,0,0
2013062515,"1","0","0",55.75,25.7,1.55,0,18.075,0,0
2013062518,"1","0","0",68.5,22.85,2.775,0.625,18.4,0,0
2013062615,"1","1","0",55.75,25.775,1.7,0,18.425,0,0
2013062715,"1","1","0",47.5,27.675,1.4,0,17.575,0,0
2013062820,"1","0","0",57.25,22.75,1.7,0,16.95,0,0
2013062912,"1","1","0",48.25,27.25,1.175,0,17.725,0,0
2013062915,"0","1","0",41.5,28.125,1.225,0,16.775,0,0
2013063012,"1","1","0",52.5,27.7,1.1,0,19.525,0,0
2013063013,"1","1","0",46.25,28.15,1.05,0,17.975,0,0
2013070611,"1","1","0",71.5,24.05,0.925,0,20.1,0,0
2013070713,"0","1","0",73.5,24.15,2.075,0,21.6,0,0
2013070715,"0","1","0",90,22.55,3.175,1.5,22.95,0,0
2013071915,"1","1","0",63.5,27.4,2.65,0,22.375,0,0
2013072017,"0","1","0",74,25.425,3.4,0.25,23.05,0,0
2013072113,"1","1","0",74.5,24.975,3.55,0.125,23.5,0,0
2013072117,"1","1","0",78.25,25.1,3.4,0,23.6,0,0
2013072216,"0","0","0",66.25,26.525,2.45,0,22.35,0,0
2013072716,"1","1","0",63.25,25.95,1.675,0,20.625,0,0
2013072815,"0","0","0",87.25,23.825,3.65,0.75,23.825,0,0
2013073012,"1","0","0",58.75,26.85,1.725,0,20.775,0,0
2013080115,"1","0","0",54.5,29.625,1.325,0,20.725,0,0
2013080413,"1","1","0",74,28.3,2.325,0,23.825,0,0
2013080414,"1","1","0",74,28.375,2.4,0.125,24.325,0,0
2013080415,"1","1","0",70,28.775,2.625,0,24.425,0,0
2013080614,"1","0","0",85.75,22.875,3.125,17.125,23,0,0
2013080707,"1","0","0",87.25,24.225,2.2,0,22.65,0,0
2013080715,"0","1","0",64,30.15,1.325,0,24.625,0,0
2013080917,"0","1","0",75.5,28.3,2.775,0,26.15,0,0
2013081114,"1","1","0",53.75,31.225,1.175,0,21.925,0,0
2013081218,"0","1","0",60,28.775,2.225,0,22.9,0,0
2013081510,"1","1","0",71.5,26.325,2.45,0,23.325,0,0
2013081512,"1","1","0",68.75,25.8,2.7,2.375,23.575,0,0
2013081515,"0","0","0",56.5,29.325,2.375,0,22.625,0,0
2013081521,"1","0","0",74.75,25.275,1.85,0,23.7,0,0
2013081711,"0","1","0",67,26.65,3.075,0,22.7,0,0
2013081711,"1","0","0",67,26.65,3.075,0,22.7,0,0
2013081714,"1","0","0",55.25,28.8,3.275,0,21.4,0,0
2013081714,"0","1","0",55.25,28.8,3.275,0,21.4,0,0
2013081715,"1","1","0",54.5,28.4,2.9,0,21.025,0,0
2013081718,"1","1","0",64.25,26.8,2.675,0,22.575,0,0
2013081815,"1","1","0",57.75,28.125,2.275,0,21.775,0,0
2013082014,"1","1","0",43.75,29.525,1.1,0,17.55,0,0
2013082015,"1","1","0",43.75,30.05,1,0,17.85,0,0
2013082016,"0","1","0",40.75,29.925,0.925,0,17,0,0
2013082218,"0","1","0",61,28.175,2.275,0,22.575,0,0
2013082416,"1","0","0",44.5,28.25,1.775,0,16.425,0,0
2013082420,"0","0","0",63.5,23.7,2.2,0,19.075,0,0
2013082803,"1","0","0",81.5,20.75,1.525,0,19.675,0,0
2013083114,"0","0","0",57.75,24.55,0.875,0,17.525,0,0
2013083115,"0","0","0",50,24.375,1.35,0,16.225,0,0
2013083116,"0","0","0",54.25,24.15,2.075,0,17.45,0,0
2013090113,"0","1","0",48.5,24.15,1.425,0,14.875,0,0
2013090115,"1","1","0",43.5,25.45,1.625,0,13.875,0,0
2013090114,"1","1","0",47.75,24.575,1.875,0,14.85,0,0
2013090114,"1","1","0",47.75,24.575,1.875,0,14.85,0,0
2013090116,"0","0","0",40,25.075,2.175,0,12.825,0,0
2013090118,"1","1","0",42.25,23.45,2.325,0,12.325,0,0
2013090119,"1","0","0",45.5,21.275,2.45,0,12.05,0,0
2013090410,"0","0","0",48,20.125,1.525,0,10.525,0,0
2013090415,"0","1","0",34.5,23.425,1.975,0,9.725,0,0
2013090710,"0","1","0",62.5,19.775,0.95,0,14.225,0,0
2013090711,"1","0","0",54.75,20.775,1.525,0,13.85,0,0
2013090711,"1","1","0",54.75,20.775,1.525,0,13.85,0,0
2013090712,"0","0","0",54,21.025,1.325,0,13.9,0,0
2013090715,"0","1","0",47.75,22.875,1.15,0,13.85,0,0
2013090716,"1","0","0",45.25,23.275,1.225,0,13.55,0,0
2013090716,"0","0","0",45.25,23.275,1.225,0,13.55,0,0
2013090719,"1","1","0",66.75,19.975,2.225,0,16.75,0,0
2013091513,"0","1","0",58.75,24,2.55,0,17.225,0,0
2013091513,"1","0","0",58.75,24,2.55,0,17.225,0,0
2013091516,"1","1","0",51.75,24.6,2.625,0,16.225,0,0
2013091517,"0","0","0",49.5,24.175,2.85,0,15.05,0,0
2013091518,"1","1","0",41,22.675,3.725,0,10.125,0,0
2013091517,"0","1","0",49.5,24.175,2.85,0,15.05,0,0
2013091709,"1","0","0",60,20.6,1.4,0,11.35,0,0
2013091715,"1","1","0",34.5,25.65,1.6,0,11.225,0,0
2013091811,"1","1","0",50,24.6,1.8,0,14.25,0,0
2013091815,"0","1","0",39.25,27.35,1.325,0,14.5,0,0
2013091911,"0","0","0",50.75,23.625,1.5,0,15.1,0,0
2013091917,"0","0","0",44,25.925,0.825,0,15.225,0,0
2013092012,"1","1","0",63.5,23.525,1.1,0,18.7,0,0
2013092013,"1","1","0",60,24.1,1.325,0,18.4,0,0
2013092016,"1","1","0",56,24.85,1.925,0,18.05,0,0
2013092015,"1","1","0",55.75,24.8,2,0,17.95,0,0
2013092112,"1","0","0",60,23.525,1.55,0,18.1,0,0
2013092116,"0","0","0",52.75,24.275,1.1,0,16.95,0,0
2013092215,"1","1","0",52,23.25,3.5,0,15.6,0,0
2013092217,"1","1","0",50.75,21.725,4.15,0,14.175,0,0
2013092218,"1","1","0",52.25,20.6,4.225,0,13.275,0,0
2013092712,"0","0","0",30.5,19.6,0.95,0,3.275,0,0
2013092809,"1","0","0",70,16.225,1.325,0,11.575,0,0
2013092812,"0","1","0",62.5,16.625,1.225,0,11.025,0,0
2013092814,"1","1","0",58.25,17.675,1.1,0,11.1,0,0
2013092917,"1","1","0",85,16.95,1.625,0,16.7,0,0
2013100118,"1","0","0",60.5,21.125,1.525,0,16.45,0,0
2013100210,"1","0","0",77.25,17.55,2.325,0,16.275,0,0
2013100215,"1","1","0",47.75,19.45,3.5,0,10.575,0,0
2013100220,"0","0","0",47.5,14.05,4.125,0,5.325,0,0
2013100314,"1","1","0",34.75,18.075,2.1,0,4.625,0,0
2013100316,"1","1","0",36,18.175,1.975,0,5.425,0,0
2013100415,"1","0","0",34.75,21.175,1.25,0,7.875,0,0
2013100418,"1","1","0",42.5,17.825,2.3,0,8.425,0,0
2013100509,"1","0","0",57.75,16.05,2.8,0,8.175,0,0
2013100516,"1","0","0",30.25,23.825,1.95,0,5.9,0,0
2013100611,"0","0","0",50.5,20.925,4.375,0,12.775,0,0
2013100612,"1","0","0",53.25,21.475,4.15,0,14.075,0,0
2013100613,"0","0","0",50.5,22.25,3.775,0,14.075,0,0
2013100614,"1","1","0",53.5,21.725,4.025,0,14.825,0,0
2013100712,"1","0","0",62.25,22.9,1.325,0,17.375,0,0
2013100917,"1","1","0",47.25,22.025,1.05,0,13.025,0,0
2013101116,"1","0","0",47,16.1,4.225,0,7.875,0,0
2013101212,"1","1","0",31,17.7,2.375,0,1.85,0,0
2013101218,"1","0","0",54.5,15.7,2.95,0,9.125,0,0
2013101311,"1","0","0",60.75,17.3,1.1,0,11.025,0,0
2013101314,"1","0","0",38,19.375,1.15,0,7.725,0,0
2013101315,"1","1","0",37,19.45,1.275,0,7.375,0,0
2013101316,"1","1","0",41.5,18.85,1.925,0,9.025,0,0
2013101507,"1","1","0",78.25,12.25,2.775,0,10.3,0,0
2013101818,"1","0","0",47.75,13.35,1.45,0,5.75,0,0
2013101909,"1","1","0",70,11.775,2.925,0,6.775,0,0
2013101911,"1","1","0",58,14.875,1.65,0,7.275,0,0
2013101914,"1","1","0",46.75,16.75,1.325,0,7.4,0,0
2013102012,"1","1","0",47.5,18.4,1,0,8.675,0,0
2013102013,"1","1","0",47.5,19.15,1.175,0,9.4,0,0
2013102012,"1","0","0",47.5,18.4,1,0,8.675,0,0
2013102016,"1","0","0",42.25,19.05,1.225,0,8.425,0,0
2013102021,"1","0","0",74.5,13.375,2.375,0,11.35,0,0
2013102313,"0","1","0",40.75,18.75,1.2,0,6.825,0,0
2013102314,"1","0","0",38.75,19.125,1.3,0,6.625,0,0
2013102412,"1","0","0",56.75,15.275,2.175,0,8.3,0,0
2013102515,"1","1","0",30,12.2,2.4,0,-2.8,0,0
2013102516,"0","1","0",32.25,11.875,3.25,0,-2.125,0,0
2013102516,"1","1","0",32.25,11.875,3.25,0,-2.125,0,0
2013102517,"1","1","0",36.25,10.6,3.475,0,-1.7,0,0
2013102613,"1","0","0",39.5,12.875,1.3,0,1.075,0,0
2013102615,"0","1","1",37.25,12.95,2.6,0,0.85,0,0
2013102616,"1","0","0",36,12.725,2.7,0,0.275,0,0
2013102615,"1","1","0",37.25,12.95,2.6,0,0.85,0,0
2013102617,"1","0","0",38,11.5,1.85,0,-0.2,0,0
2013102619,"0","0","0",54.25,7.9,2.375,0,2.075,0,0
2013102620,"0","0","0",57.5,7.175,2.675,0,1.8,0,0
2013102713,"1","0","0",34.75,14.975,1.775,0,0.65,0,0
2013102714,"1","0","0",36.75,15.175,1.625,0,2.675,0,0
2013102716,"1","0","0",37.75,15.225,1.825,0,2.875,0,0
2013102716,"1","0","0",37.75,15.225,1.825,0,2.875,0,0
2013102814,"1","0","0",46,14.3,0.725,0,5,0,0
2013102815,"1","0","0",47,14.35,0.725,0,4.675,0,0
2013102915,"1","0","0",60.75,14.525,2.15,0,8.475,0,0
2013103114,"1","1","0",37.5,16.575,1,0,3.575,0,0
2013110114,"0","1","1",41.25,18.1,1.075,0,6.325,0,0
2013110312,"0","0","0",76,12.475,0.825,0,8.375,0,0
2013110315,"1","0","0",60,13.925,1.1,0,8.475,0,0
2013110311,"1","1","0",86,11.175,0.925,0,8.625,0,0
2013110314,"1","0","0",61.5,13.95,1.125,0,8.4,0,0
2013110313,"0","1","0",67.5,13.525,1.125,0,8.275,0,0
2013110313,"1","1","0",67.5,13.525,1.125,0,8.275,0,0
2013110313,"1","0","0",67.5,13.525,1.125,0,8.275,0,0
2013110716,"1","0","0",38.75,12.925,2.4,0,1.225,0,0
2013110817,"1","0","0",32.25,9.6,1.875,0,-4.175,0,0
2013110817,"1","1","0",32.25,9.6,1.875,0,-4.175,0,0
2013110913,"1","0","0",44.75,14.275,1.35,0,2.775,0,0
2013110912,"0","1","0",45.75,14.075,1.675,0,2.7,0,0
2013110913,"1","0","0",44.75,14.275,1.35,0,2.775,0,0
2013111012,"1","0","0",33.75,5.625,3.65,0,-7.525,0,0
2013111015,"1","1","0",34.75,5.625,3.65,0,-6.55,0,0
2013111016,"1","1","0",31,5.475,3.325,0,-8.475,0,0
2013111114,"1","1","0",27.75,5,2.9,0,-9.85,0,0
2013111215,"1","0","0",33.5,6.225,3.075,0,-6.55,0,0
2013111314,"1","0","0",25.75,7.775,0.875,0,-8.4,0,0
2013111316,"1","1","0",26,7.525,0.75,0,-8.55,0,0
2013112413,"1","1","0",52,8.575,2.075,0,1.625,0,0
2013112413,"0","0","0",52,8.575,2.075,0,1.625,0,0
2013112611,"0","1","0",48.5,1.1,3.425,0,-6.125,0,0
2013113012,"1","1","0",52.25,5.4,2.1,0,-1.775,0,0
2013113017,"1","1","0",48.75,5.95,2.45,0,-1.35,0,0
2013120716,"1","1","0",42,6.275,2.55,0,-2.875,0,0
2013120816,"1","0","0",65,6.125,1.35,0,1.2,0,0
2013121512,"1","1","0",31.25,-3.275,2.1,0,-15.9,4.9,1
2013121816,"1","0","0",54.25,3.35,1.525,0,-2.225,0,0
2013121916,"1","0","0",48,-4.825,3.85,0,-11.525,0.7,1
2013122215,"1","0","0",47.25,-0.225,1.825,0,-7.55,0,0
2013122511,"1","0","0",57,-0.35,2.25,0,-7.375,0,0
2013122914,"1","1","0",40,-1.875,2.6,0,-10.4,0.1,1
2014010108,"1","0","0",61.25,-0.6,3.175,0,-6.175,0,0
2014010111,"1","1","0",55.75,3.225,3.45,0,-2.45,0,0
2014010115,"1","1","0",28.75,4.975,4.325,0,-9.025,0,0
2014010512,"1","0","0",46.75,-0.8,1.175,0,-8.35,0,0
2014010515,"0","1","0",34,0.925,1.775,0,-10.5,0,0
2014010516,"1","1","0",31.75,1.025,2.525,0,-12.125,0,0
2014010516,"1","0","0",31.75,1.025,2.525,0,-12.125,0,0
2014010715,"1","1","0",49,3.325,0.75,0,-4,0,0
2014011114,"1","0","0",28,-0.275,1.675,0,-15.925,0,0
2014011213,"1","0","0",43,-0.525,3.925,0,-9.175,0,0
2014011215,"1","0","0",33,-0.8,4,0,-13.775,0,0
2014011216,"1","0","0",30.75,-1.725,3.7,0,-15.1,0,0
2014011815,"1","0","0",28.75,-1.75,4.9,0,-14.9,0,0
2014012812,"0","1","0",41.75,0.95,3.075,0,-7.9,0,0
2014020315,"1","0","0",23.25,-3.775,4.3,0,-19.325,0,0
2014020912,"1","1","0",68.5,-2.45,0.925,0,-5.05,4.5,1
2014020913,"1","0","0",68,-2.325,0.625,0,-4.825,4.3,1
2014021013,"1","0","0",49.25,-0.6,1.675,0,-6.425,1.4,1
2014021516,"1","1","0",33.5,5.175,1.825,0,-6.825,0,0
2014021614,"1","0","0",38,4.675,1.275,0,-6.475,0,0
2014021617,"1","0","0",36.5,5.075,2.175,0,-6.55,0,0
2014022015,"1","1","0",45.75,2.425,2.875,0,-5.6,0,0
2014022212,"1","1","0",37.25,2.8,1.35,0,-8.425,0,0
2014022213,"1","1","0",35.5,3.625,1.775,0,-7.775,0,0
2014022213,"1","1","0",35.5,3.625,1.775,0,-7.775,0,0
2014022312,"1","0","0",38,4.65,0.925,0,-6.975,0,0
2014022313,"1","0","0",35.5,5.5,1.175,0,-6.625,0,0
2014022315,"1","1","0",30.5,6.225,1.575,0,-7.475,0,0
2014022811,"1","1","0",59.25,5.65,1.65,0,-0.325,0,0
2014030114,"1","0","0",57.75,6.4,2.45,0,1.025,0,0
2014030113,"1","0","0",57,6.925,1.9,0,0.975,0,0
2014030115,"1","0","0",54.25,7.025,2.2,0,0.525,0,0
2014030116,"1","0","0",52.25,6.775,2.075,0,-0.125,0,0
2014030215,"1","1","0",25,6.875,3.9,0,-9.175,0,0
2014030216,"1","1","0",22.75,6.825,4.05,0,-10.2,0,0
2014030317,"1","1","0",22.25,7.5,2.3,0,-10.2,0,0
2014030415,"1","0","0",24.5,8.575,2.65,0,-7.925,0,0
2014030817,"1","1","0",29.5,3.725,2.375,0,-10.1,0,0
2014030912,"1","1","0",42,0.775,3.8,0,-8.975,0,0
2014030911,"1","1","0",69,-0.15,3.825,0,-2.65,0,0
2014030914,"1","1","0",31.5,1.35,4.625,0,-11.375,0,0
2014031511,"1","1","0",60.75,4.775,2.95,0,0.05,0,0
2014031611,"1","1","0",57.5,10.275,2.075,0,4.725,0,0
2014031613,"1","0","0",46,13.4,2.025,0,4.475,0,0
2014031615,"1","1","0",40.75,14.65,2.3,0,4.525,0,0
2014032312,"1","0","0",43,12.2,2.875,0,1.55,0,0
2014032317,"1","0","0",43.5,11.2,2.7,0,1.35,0,0
2014032612,"1","1","0",63,15.325,1.6,0,9.6,0,0
2014033013,"1","1","0",48,14.3,1.8,0,6.8,0,0
2014040217,"1","1","0",20.75,18.125,2.425,0,-1.925,0,0
2014040510,"0","1","0",39,5.825,1.95,0,-4.725,0,0
2014040513,"1","1","0",36,7.35,2.4,0,-3.875,0,0
2014040515,"1","1","0",61.25,3.925,3.7,0.25,0.825,0,0
2014040612,"1","1","0",26.25,7.95,3.15,0,-8.1,0,0
2014040717,"0","0","0",49,12.575,3.3,0,4.6,0,0
2014041312,"0","1","0",51.5,17.475,1.35,0,9.1,0,0
